Nilgiri Bag,1251,245,251,1245
Old Adgaon Naka,1152,163,1251,1163,208,145,245,152,1208,1145,251,1245
Ganjmal,208,146,1208,1146
Gandhi Nagar,208,209,146,1208,1209,1146
Wadala Naka,208,146,1208,1146
Hirawadi,163,1163
Ayodhya Nagar,163,1163
Dasak,1251,245,251,1245
K K Wagh,1152,208,209,152,1208,1209
Bytco,1251,208,209,146,245,1208,1209,1146,251,1245
CBS,1152,163,1163,208,145,146,245,152,1208,1145,1146,1245
Amrut Dham,1152,163,1163,208,209,152,1208,1209
Gymkhana Road,1251,245,251,1245
Ozar,1152,208,209,152,1208,1209
Jatra Hotel,1152,163,1163,208,209,152,1208,1209
Sinnar Phata,146,1146
Bodhale Nagar,208,209,146,1208,1209,1146
Panchavati Depot Corner,1152,1251,208,145,209,245,152,1208,1145,1209,251,1245
Adgaon,1152,208,209,152,1208,1209
Datta Mandir,208,209,146,1208,1209,1146
Tapovan,1251,145,245,1145,251,1245
New CBS,1152,163,1163,145,245,152,1145,1245
Trimurti Nagar,163,1163
Hirawadi Fata,163,1163
Nandur Naka,1251,245,251,1245
Bali Mandir,1152,163,1163,208,209,152,1208,1209
Kailash Nagar,1251,245,251,1245
Jail Taki,1251,245,251,1245
Nehru Nagar,208,209,146,1208,1209,1146
RK,1152,163,1163,208,145,146,245,152,1208,1145,1146,1245
PK,1152,163,1163,208,145,146,245,152,1208,1145,1146,1245
Medical Fata,1152,163,1163,208,209,152,1208,1209
MET,163,1163
Aurangabad Naka,1152,1251,208,145,209,245,152,1208,1145,1209,251,1245
Ganesh Mandir,163,1163
Nimani,1152,163,1251,1163,208,145,146,245,152,1208,1145,1146,251,1245
Dwarka,208,209,146,1208,1209,1146
Nashik Road,1251,208,209,146,245
